"kc.bodyId","kc.instance","kc.type","nb.cluster","kc.largetype","nclaw","npostsyn"
"5812980428","KCab-s_R","kcabs","b","alphabeta",7,106
"911094343","KCab-m_R","kcabm","a","alphabeta",5,76
"939738399","KCab-m_R","kcabm","a","alphabeta",6,66
"1327831724","KCa'b'-m_R","kcabprimem","a","alphaprimebetaprime",4,66
"877992236","KCab-m_R","kcabm","b","alphabeta",2,47
"908685859","KCab-m_R","kcabm","b","alphabeta",4,74
"5812983328","KCab-c_R","kcabc","a","alphabeta",4,44
"940075464","KCab-m_R","kcabm","b","alphabeta",4,66
"5812983309","KCab-c_R","kcabc","b","alphabeta",3,23
"5812983866","KCa'b'-m_R","kcabprimem","b","alphaprimebetaprime",4,48
"1172372291","KCg-m_R","kcg","b","gamma",5,87
"908685688","KCab-m_R","kcabm","b","alphabeta",5,77
"768184496","KCa'b'-m_R","kcabprimem","b","alphaprimebetaprime",5,40
"735785639","KCab-c_R","kcabc","b","alphabeta",5,62
"940084060","KCab-m_R","kcabm","a","alphabeta",3,70
"5813020274","KCab-m_R","kcabm","c","alphabeta",5,88
"5813056121","KCg-m_R","kcg","c","gamma",8,160
"5812982429","KCa'b'-m_R","kcabprimem","c","alphaprimebetaprime",8,92
"537945877","KCab-c_R","kcabc","c","alphabeta",3,54
"5813095915","KCg-m_R","kcg","d","gamma",8,169
"601319398","KCab-m_R","kcabm","d","alphabeta",3,79
"5812981038","KCg-m_R","kcg","d","gamma",5,84
"538908474","KCab-m_R","kcabm","d","alphabeta",3,75
"5813089804","KCab-m_R","kcabm","d","alphabeta",3,44
"5812981667","KCab-m_R","kcabm","c","alphabeta",5,98
"507592981","KCab-m_R","kcabm","c","alphabeta",5,101
"1046816660","KCab-c_R","kcabc","c","alphabeta",6,49
"5812981390","KCab-m_R","kcabm","c","alphabeta",5,92
"1108541296","KCab-m_R","kcabm","c","alphabeta",6,92
"674398014","KCab-m_R","kcabm","d","alphabeta",7,86
"5812980393","KC part due to gap","unknown",NA,"unknown",5,40
"5813021642","KCa'b'-m_R","kcabprimem","c","alphaprimebetaprime",6,85
